average_rating,author_id,name,ratings_count
4.08,626222,Anita Diamant,546796
3.68,9212,Jennifer Weiner,888522
3.84,3083854,Tom Wolfe,210744
4.01,3389,Stephen King,10666719
4.1,1265,Jane Austen,4693826
4.13,16667,Isaac Asimov,1533093
3.97,123715,Agatha Christie,2559239
4.04,1938,Friedrich Nietzsche,250672
3.61,9343,Kate Mosse,83451
3.98,5031025,Anton Chekhov,190472
4.06,8164,Lewis Carroll,1022402
4.04,36346,Jennifer Donnelly,143792
4.17,3137322,Fyodor Dostoyevsky,1052406
3.68,13730,R.L. Stine,670491
3.84,854076,Robert Louis Stevenson,834908
3.95,3354,Haruki Murakami,1588319
3.82,10885,Edgar Rice Burroughs,220737
4.19,238787,Philip Van Doren Stern,1972
3.64,5669,Leslie Kelly,20519
3.75,512651,Seno Gumira Ajidarma,14563
3.88,8794,Charles Stross,184596
3.74,2565,Ian Fleming,232196
4.08,8993,O. Henry,120633
4.04,35007,William Horwood,11300
4.14,1023510,R.A. Salvatore,677940
4.15,5158478,Anonymous,1070234
4.13,6378,Hans Christian Andersen,258513
4.18,570218,Dalai Lama XIV,179842
3.84,106843,G.A. Henty,18375
4.03,1580,Humphrey Carpenter,17046
4.0,8685,Mercedes Lackey,810564
4.05,1244,Mark Twain,4087862
4.23,7417657,Cook's Illustrated Magazine,31181
3.9,6206,Jenny Nimmo,165124
4.0,73435,Maxine Chernoff,315
3.8,5194,Michael Crichton,1999836
4.14,1654,Terry Pratchett,3267646
4.15,4610,John Sandford,665039
4.37,346732,George R.R. Martin,4277240
4.21,2448,Arthur Conan Doyle,1424024
3.96,7128,Jodi Picoult,2963318
4.31,656983,J.R.R. Tolkien,6424927
4.0,21706,Jeffrey Scheuer,19
4.12,17059,Lynsay Sands,445073
3.72,3370,Geneen Roth,18224
4.0,13388,Shirley Jackson,244025
3.91,21700,Matt Weinstein,172
4.08,21699,Luke Barber,117
3.98,21702,Barbara Bottner,4492
4.18,26181,Peggy Rathmann,68723
3.88,21701,Mari Mancusi,44780
3.8,21705,Rick Tramonto,283
3.85,21704,Mary Goodbody,694
4.15,75038,Tim Turner,1180
3.94,143971,Peter H. Selby,181
4.16,6252,Robert Jordan,1809448
4.02,38951,John Connolly,179327
3.82,296961,Paul Auster,249894
3.7,68285,Maaike Bakker,27
3.88,199983,Murray Edelman,132
4.0,51204,Alastair Reynolds,191847
4.03,874602,Ursula K. Le Guin,700499
3.81,57814,Robert Reed,23440
3.87,4338,Robert Silverberg,158450
3.82,14454,Michael Swanwick,62295
3.83,142683,Gary Watson,149
3.99,24183,Morgan Llywelyn,26761
4.03,27100,Michael Scott,404916
4.13,6765,Virginia Woolf,2725563
4.11,339874,Josie Litton,6933
3.97,3780,James Patterson,4717668
3.88,108548,Eleanor Arnason,4567
3.74,124999,Anya Ulinich,2000
4.15,14734208,John M. Gottman,18646
4.08,31962,Joan DeClaire,4332
3.55,125002,Maurice J. Elias,157
3.4,353065,Steven E. Tobias,95
3.43,353067,Brian S. Friedlander,93
3.9,585,John Steinbeck,2959471
3.89,6563919,Maurice-Edgar Coindreau,1045
4.19,232305,Judith Larner Lowry,47
4.13,14002590,W.H. Auden,24480
3.94,6989,Rudyard Kipling,303560
3.74,21042,Will Ferguson,20926
3.83,3946149,Katimaviktim,90
4.09,172977,Malorie Blackman,92121
3.96,1356336,L.A. Banks,88455
4.07,29305,Robert Mankoff,2108
4.17,29303,David Remnick,17351
3.78,4747,Adam Gopnik,19995
4.04,106,Madeleine L'Engle,1031251
4.02,10074,Ellen Raskin,131043
3.89,19365,George Guidall,16380
3.81,196963,Nick Pollotta,2905
3.88,201553,James Clay,102
4.06,2345,Nicholas Sparks,4600277
3.47,167069,Paul Burston,376
3.96,13931,Alice Alfonsi,5430
4.09,36122,Patricia C. Wrede,272562
3.98,17735,Ryder Windham,14103
3.84,26930,J. Sheridan Le Fanu,53125
3.66,45332,Christiane Heggan,1273
3.7,45333,Lynn Bulock,656
3.52,149387,Lenore Fleischer,127
4.22,12948,Rumiko Takahashi,234525
4.01,146303,Mark Harris,2770
3.99,14403,Ambrose Bierce,51100
4.01,2802356,Herge,227167
4.07,18015,Joss Whedon,398617
4.07,33227,Colleen Coble,73192
3.78,69826,Joan Lingard,3005
3.82,14160,Marilyn French,9806
3.88,25486,Emmanuel Le Roy Ladurie,1706
4.05,67376,Robert Jay Lifton,3798
3.87,17613,Lawrence Block,151251
4.15,86821,David Antin,803
3.5,5552,George Myerson,167
4.07,227840,Jean Estoril,2806
4.03,4114801,Mabel Esther Allan,3148
3.41,17818,Michael Goss,34
4.26,17817,George Behe,74
4.17,909675,Irvin D. Yalom,98961
3.87,239579,Charles Dickens,2534985
3.52,304718,Janni Howker,255
3.6,22793,Fred Feldman,119
3.0,414552,Georges Sayad,1
4.05,8166,Lawrence Durrell,27590
3.77,19984,Clare Beaton,1255
3.43,245405,Suzee Vlk,105
3.91,26496,Imre Kertesz,9450
3.93,58851,Hilary Mantel,210374
4.02,6244,Ridley Pearson,223275
3.66,64163,Jenefer Shute,919
3.83,225268,Cris Beam,8745
4.24,77295,Martin McDonagh,18909
3.72,12952,Cathy Kelly,39845
3.82,39349,Ariel Dorfman,6623
2.0,217794,Lorine M. Getz,2
4.19,190923,James Ruppert,130
3.88,7617779,Dennis McAuliffe Jr.,32
3.94,43697,Keith R.A. DeCandido,40630
3.76,145046,Alan Zweibel,4403
3.17,6886677,Alex Tiani,29
4.2,84062,David Catrow,48109
3.59,81158,Caryl Phillips,3692
3.65,947602,Michel Rivelin,69
4.21,3362,Eric Carle,713748
4.0,531982,Ted Hopf,31
3.77,10275,Graham Masterton,44621
3.83,178567,John Naughton,424
3.9,8127,William Morris,15456
3.79,214294,Paul Halpern,1115
3.75,324233,Richard Koss,107
3.88,31855,Christian Jacq,37166
3.97,48894,Susan R. Sloan,1931
3.8,50031,Barnaby Legg,98
3.65,50029,Jim McCarthy,925
3.64,50030,Flameboy,429
3.62,642609,Marjie Hathaway,533
3.92,1108608,James Hathaway,105
3.63,3925665,Jay Hathaway,525
3.9,3970891,Susan Hathaway Bek,103
4.13,50973,Israel Regardie,13423
4.01,3895083,Cris Monnastre,1630
3.95,3263357,Carl Llewellyn Weschcke,1821
3.39,64207,Suzanne S. Bell,150
4.06,10034,Mike Thaler,22822
4.05,91779,Jared Lee,26630
3.99,4735,Kathryn Lasky,194821
4.02,472036,Kevin Hawkes,57224
4.06,64206,Jeanette Winter,11298
3.58,1676616,Warren Graham,544
3.52,64211,Larry Beinhart,1028
3.25,64210,Ronald R. Powell,155
3.21,64209,Lynn Silipigni Connaway,147
3.89,64208,Toni Buzzeo,8246
3.6,2500261,Sachiko Yoshikawa,1784
4.04,134143,Penn Jillette,47243
3.99,34532,Teller,2077
4.11,60177,Guy Gavriel Kay,165534
3.16,80213,Ian Sansom,5981
3.74,25334,Sarah Waters,227372
3.86,947,William Shakespeare,5184553
4.21,87041,Alan Turing,309
3.92,1093460,B. Jack Copeland,419
3.67,87038,Greg Nees,121
4.37,209672,Charles M. Schulz,67048
4.21,127464,Robert E. Svoboda,2773
4.0,5747740,Robert Svodova,1
4.0,2747467,Fermin Guisado,7
3.51,307584,Shantha Godagama,35
4.0,1235,Jon Krakauer,1200651
3.76,13635,Anne Stuart,89831
4.47,2876959,Charles Haddon Spurgeon,18418
4.14,11646,Lynda Barry,33602
3.89,1071,Edwin C. Bliss,160
3.48,36347,Vendela Vida,12444
3.33,330135,Dawn Porter,123
3.88,30681,Joseph Roth,15156
3.7,44475,Kerson Huang,148
4.05,44474,Rosemary Huang,43
3.69,87097,Leslie Pockell,916
3.85,2107142,Celia Johnson,68
3.73,243908,Michael Kilian,517
3.91,217376,James G. Randall,78
4.16,7922,David Herbert Donald,28747
3.82,4006566,Jean Harvey Baker,39
3.58,104088,Michael F. Holt,979
3.96,879521,P.T. Deutermann,6740
3.56,2423,Francine Pascal,224635
3.49,169001,Kate William,93220
3.6,94463,Norman B. Spector,35
4.11,4041274,Eugene Vinaver,14095
4.01,256988,Kanari Yozaburo,4751
3.82,3128534,Hablot Knight Browne,742099
4.05,61934,Dorothy Gilman,69427
4.35,226618,Ian Angus,1359
3.82,252733,Russell Jacoby,507
4.57,76131,Robin Blaser,639
4.17,69451,Wayne Burns,12
3.5,855243,Harvey J. Graff,60
3.71,405214,David Kettler,7
4.41,213575,Jeff Wall,208
4.0,13475610,Jerry Zaslove,4
3.92,6471748,Linda  Stewart,200
3.83,83885,John Hospers,175
4.24,83883,Vijay V. Vazirani,45
3.92,223312,Ian Carmichael,795
3.98,1466,Jean-Paul Sartre,230704
3.97,3472,Margaret Atwood,1535280
3.69,18874,Susan Hill,95472
3.81,27798,Chet Williamson,11395
3.94,28574,Jude Deveraux,322308
3.94,33031,Ian Rankin,243858
3.59,32979,Richard Appignanesi,9392
3.55,32978,Chris Garratt,1648
3.57,89341,Ziauddin Sardar,3380
3.66,13333,Patrick Curry,1182
3.89,6620,Greg Cox,22266
3.81,33876,Mary Jo  Putney,72961
4.24,93839,John Loren Sandford,576
4.19,81603,Paula Sandford,462
4.02,1315,Louisa May Alcott,1533077
3.64,58995,Lass Small,897
4.09,24951,Aleksandr Ivanovich Kuprin,9543
3.99,23278,Melanie Mitchell,2273
4.01,29527,Charlotte Perkins Gilman,144068
3.89,15151,Zora Neale Hurston,223299
4.03,4176632,W. Somerset Maugham,152904
3.89,5246,Amy Tan,813367
4.04,128382,Leo Tolstoy,875280
4.27,153394,Suzanne Collins,9359797
4.21,260042,Stella Starsky,1379
4.21,260041,Quinn Cox,1377
4.1,124714,Tim Egan,2999
3.7,2279,Geoff Dyer,55933
3.81,1189856,Home Depot,486
3.92,47872,Robert E. Quinn,1304
3.87,30953,Donald E. Westlake,37218
3.89,8694,Tanith Lee,143720
4.02,10420,Aleksandr Solzhenitsyn,116276
3.76,16,Edith Wharton,340829
3.26,411872,Hydr Hydr,1444
3.87,56969,Daniel Barenboim,694
3.97,24390,Edward Said,64493
3.85,3534,Toni Morrison,599193
4.0,5634124,Ruth Dowling Brunn,2
4.18,90123,Bertel Bruun,588
4.25,3510823,Walt Disney Company,457629
3.83,18738,David Klass,14114
4.04,13479797,E.F. Benson,24458
4.26,2956067,Micheal Mac Liammoir,1077
3.9,54836,Paul Blustein,406
4.01,9152,Donald J. Sobol,65817
4.0,1178971,Ib Ohlsson,1210
4.27,6867702,America's Test Kitchen,29717
3.89,18067,Georgette Heyer,295458
3.81,151920,Phyllis A. Whitney,30109
4.01,7,Bill Bryson,1014813
3.94,16939,Michael Moorcock,206554
3.89,14150,Martha Grimes,93522
4.3,30041,Jeff Cooper,1077
3.8,21616,Ann M. Martin,368092
4.14,8725,Tomie dePaola,126509
4.44,1077326,J.K. Rowling,18532721
3.76,368850,David M. Rhoads,180
3.75,529330,Donald M. Michie,140
3.79,529329,Joanna Dewey,138
3.55,204339,Imran Ahmad,598
3.96,71767,Carole Pateman,299
4.09,3907971,Francisco Abril,123
3.93,5124,Gilbert Hernandez,30938
4.15,4766238,Jaime Hernandez,28270
3.86,62108,Christopher Hibbert,13653
3.62,73546,Liza Cody,1215
4.31,8052,Pema Chodron,73921
4.06,23862,Herbert R. Kohl,4551
4.26,144092,George Rodrigue,432
3.89,373292,Bruce Goldstone,893
4.49,108424,Patrick Rothfuss,868789
4.06,29541,Robert D. San Souci,13356
3.96,5989,Jane Yolen,290324
4.03,496121,Brian Pinkney,11905
4.33,283152,Molly Groger,12
4.35,25838,Sam McBratney,112982
4.34,63392,Anita Jeram,114458
4.18,5300,Laura Ingalls Wilder,958994
3.99,24690,John D. MacDonald,203715
3.81,1733,Bruce Lansky,5191
3.47,2885224,Marquis de Sade,33732
4.03,5209023,C.L. Moore,10490
3.72,11460,Lynn Harris,1656
4.06,11463,Tamara Leigh,13169
3.98,22395,Mortimer J. Adler,15130
3.83,250593,Sheldon B. Liss,6
3.52,270741,Marilu Henner,872
3.06,412792,Ruth Velikovsky Sharon,66
3.67,2042,Nancy Friday,5052
4.04,5310,Lois Lenski,63234
3.86,4766,Andre Norton,130190
3.84,7244324,Robert   Adams,7648
3.89,89612,Johanne Killeen,74
3.89,3912147,George Germon,74
3.78,73617,Pamela Kaufman,2585
4.01,13996,Harry Crews,12092
4.03,278189,Kathie Billingslea Smith,366
3.71,36521,Deborah Leblanc,1503
3.58,92358,Linda Roghaar,620
3.6,92357,Molly Wolf,656
4.04,4197526,Richard Francis Burton,54156
3.71,67037,Cathy Maxwell,28836
3.9,1563,Steven Johnson,60501
3.65,26099,Niki Burnham,15296
3.62,179791,Amy Saidens,1658
3.63,104390,Cheri Scotch,317
4.05,2778055,Kurt Vonnegut Jr.,2021453
4.21,54323,Alastair Brotchie,1264
4.13,52258,Malcolm Green,558
4.21,193502,Antony Melville,291
4.07,40211,Andrew Thomson,3956
4.14,116236,Raymond Roussel,1315
3.6,41703,Paul Hammond,4171
4.07,86801,John Ashbery,14259
3.9,225207,Barbara Wright,13274
4.43,4032322,Alec Gordon,23
4.43,628,Catherine Allan,23
4.29,667518,John Harman,122
4.35,4463085,Kathleen Cannell,23
3.68,23788,Martin Sorrell,21947
4.45,4463086,Roderick Masterton,22
4.25,2311990,Robert de Montesquiou,87
3.91,73111,Philippe Soupault,678
4.09,844521,Pierre Janet,47
3.92,1281461,Roger Vitrac,72
4.05,165858,Salvador Dali,6698
3.77,54133,Andre Breton,10943
3.87,29880,Michel Butor,2790
4.07,3020753,Jean Ferry,147
3.71,65996,Michel Leiris,866
3.79,31274,Alain Robbe-Grillet,7396
4.12,235752,Jean Ricardou,48
4.45,170032,Leonard Sciascia,22
4.45,4463084,F.T.,22
3.71,28357,Jane Kramer,284
3.88,3190,F. Scott Fitzgerald,3145639
4.08,7222053,Matthew J. Bruccoli,26093
3.31,201013,Jill Andresky Fraser,59
4.08,62537,William H. Pritchard,752
3.64,390151,Eric Brockman,14
3.92,13608,Phyllis Reynolds Naylor,138237
4.13,15085,Frank Miller,595832
3.92,133039,Gary Paul Nabhan,2226
4.12,85545,Kristen Britain,77426
4.02,117887,Tracie Howard,421
4.02,248692,Danita Carter,182
3.76,320776,Robert H. Eisenman,516
3.39,181368,Sharon Kendrick,15765
3.25,158285,Lands' End,4
3.89,53126,Todd Lyon,93
4.1,30465,Douglas Wilson,16346
3.84,13957,Scott Westerfeld,1247344
3.88,6853,Jeffrey Meyers,5195
3.88,20850,Walter Mosley,97815
3.73,8399330,Jorgen W. Weibull,15
3.78,12696,Jerry Spinelli,483223
4.0,14577687,Livy,12544
4.71,1375334,Frank Gardner Moore,31
4.18,302994,David A. Campbell,169
4.22,153568,Leisha Kelly,3807
4.08,41112,Rex Stout,113816
3.97,160252,Stephen Greenleaf,3127
3.77,35900,Linda Barnes,19193
4.1,83057,Don Coldsmith,4359
3.91,11258,Stuart M. Kaminsky,19032
3.96,43763,Robert Goldsborough,10963
3.94,36494,Patricia Sprinkle,6796
3.83,1353301,V.C. Andrews,610757
3.97,31237,Richard F. Newcomb,864
3.91,7015096,Joan  Anderson,8666
3.81,11195,Ronlyn Domingue,5629
4.18,11193,Joe Simpson,42792
3.92,28065,Peter D. Ward,2319
3.84,3857933,David W. Ehlert,97
3.84,229566,Langdon Hammer,693
4.13,117633,Kathleen Jamie,1997
4.02,211229,Lorna Crozier,1046
3.95,3506,Carson McCullers,111206
3.59,4370,Elizabeth Wurtzel,59085
3.83,2954440,Fodor's Travel Publications Inc.,8278
3.81,2798993,Josh McIlvain,62
3.63,4511332,Alexis C. Kelly,82
3.57,170012,Deborah Kaufman,49
4.01,24365,Carol Lloyd,316
4.19,1114699,Henry Cloud,60124
3.69,223251,Kay Greenlees,39
4.15,4785,Alexandre Dumas,1002446
3.82,14255,Danielle Steel,621934
3.98,1285555,Jose Saramago,290176
3.47,1448,Karen Joy Fowler,157661
3.58,47416,Stefan Halper,158
3.66,47415,Jonathan Clarke,41
3.56,182771,Sarah Hall,10692
4.13,12366,Patti Kelley Criswell,1350
4.05,841062,Stacy Peterson,349
4.03,51178,Sarah Masters Buckey,8277
3.83,88412,Rick Walton,4401
4.05,21271,Trula Magruder,572
4.13,183770,Lauren Scheuer,1014
3.86,117184,Ann Howard Creel,21393
3.96,654066,Doron Ben-Ami,1640
3.86,16881,Peter Ackroyd,100641
4.77,1419018,Robert Adams,115
3.98,67899,Orson Welles,2565
4.02,10229,Christopher Isherwood,44981
3.72,35314,Graciela Montes,641
3.86,509460,Julie Rubenstein,5427
3.82,644,Marcia Muller,50531
4.29,19278,Alfred Huang,551
4.14,7481425,Liu Yiming,320
4.0,2969362,Sara Dormon,16
3.96,3167,Joseph Heller,613185
3.88,48308,Chris Bunch,16364
3.93,95295,J.M. Jeffries,1375
4.07,1834164,Seressie Glass,182
3.94,21698,Natalie Dunbar,501
3.82,9599,Paul Theroux,103908
3.5,3345,Joseph Conrad,450865
3.37,66939,Owen Knowles,2438
3.56,81401,Robert Hampson,7033
3.88,57501,Michael Frayn,45460
4.19,97655,Bruce Cohen,26
3.47,60610,Brian Fitzgerald,81
3.84,436181,Robert Tacoma,819
3.8,10082,Fred Saberhagen,57936
4.25,62157,Robert Alter,4269
3.99,225843,Carol Cosman,5219
3.58,65686,Robert Leuci,202
3.7,3090,Helen Fielding,929647
3.45,127347,Valerie Sayers,181
4.13,2041,Frances Hodgson Burnett,964999
4.15,776,Michael   Lewis,410740
4.03,137976,Tom Carter,1845
3.95,84172,Carlton Stowers,1891
3.84,332165,Helen Garner,17277
3.66,457,Anne Tyler,339248
3.91,9355,Dean Koontz,2055739
3.86,7622,Patricia Highsmith,121263
3.71,9693,Georges Simenon,57033
3.71,344522,P.D. James,297861
3.82,2971291,Geoffrey Sainsbury,2337
3.86,134769,David Watson,10785
3.96,6569,Louis Sachar,1004683
3.86,7540,Cynthia Voigt,67603
3.77,123559,Peter Wyden,511
4.05,4261,Allen Ginsberg,160588
3.95,2238,Isabel Allende,555682
3.85,6590,Jean Plaidy,64508
3.73,76640,Jane Addams,1368
4.0,226190,Kenji Ekuan,17
3.89,177865,David B. Stewart,47
3.8,10214,Erle Stanley Gardner,47644
3.77,186184,Barbara Albright,625
4.0,161899,Alexandra Grablewski,869
3.73,19874,Larry King,5411
3.69,100733,Irwin Katsof,54
4.13,256172,Robert H. Schuller,3490
3.64,2007,Daniel Defoe,254365
3.58,7505,Alice McDermott,32745
3.8,33451,Valerio Massimo Manfredi,35376
3.6,40416,Amelie Nothomb,83305
4.26,136822,Peter H. Beard,473
3.72,45531,Charles Baxter,26805
2.71,4615161,Shobhaa De,3928
3.81,6477407,Charles L. Mee Jr.,638
3.78,3903965,Charles L. Mee,586
4.07,4174,Sherman Alexie,297197
3.85,50408,Geoff Ryman,15237
3.81,1879,Franklin W. Dixon,166575
4.07,107772,Kirsten Beyer,7435
3.92,63199,Marco Palmieri,2679
3.85,143691,Ilsa J. Bick,44655
3.88,43771,Robert Greenberger,10248
3.85,22628,Heather Jarman,2235
3.84,1288106,Terri Osborne,1046
3.9,2873210,Kim Sheard,605
3.82,32643,James Swallow,31917
3.75,133332,Geoffrey Thorne,1644
3.91,3135634,Jeffrey  Lang,3723
3.94,2873209,Robert T. Jeschonek,2071
3.83,58125,Christopher L. Bennett,9146
3.76,39144,Norman Page,12757
3.74,34713,Joseph O'Connor,11378
3.85,173419,Stephen Kramer,111
3.82,21684,Dennis Kunkel,268
3.7,91115,James Sallis,19023
3.55,280167,Jack Hodgins,899
4.38,227750,Vickie M. Stringer,8298
4.15,132162,Helen Waddell,401
4.39,264213,Bryan Talbot,156516
3.62,153418,Judy Eron,32
4.19,737057,Xavier Francisco Amador,750
3.45,36098,Juan Valera,1468
4.16,8591,Janny Wurts,100120
3.85,167400,Stephanie Bond,92893
3.82,50,Heidi Betts,17770
3.98,24689,Harlan Coben,837403
3.97,6432746,Frank  Smith,482
3.92,87050,Joan Jacobs Brumberg,8213
3.92,49680,Mia Couto,11408
3.79,49679,David Brookshaw,2077
4.27,437674,Khephra Burns,74
4.0,69649,Mira Schor,106
3.98,28083,Stephen R. Lawhead,121091
4.27,6900,Thomas Keneally,127281
3.0,782686,Louise C. Spiker,1
3.94,39781,Jonathan London,33152
3.94,257031,Frank Remkiewicz,36171
3.41,163598,Deborah Blumenthal,3419
3.71,613911,Harvey Stevenson,414
3.6,54502,Rexanne Becnel,2681
3.93,10896,Eoin Colfer,1149818
3.86,3072763,Maxim Gorky,25739
3.98,399343,Jessie Haas,2352
3.9,114964,Caroline Elkins,852
4.19,5350,L.M. Montgomery,1260587
3.88,1361285,Susan O'Malley,1476
4.09,6563189,Laura  Fernandez,215
4.05,171003,Rick Jacobson,229
4.36,5832894,Kate Butler MacDonald,77
3.96,69974,Erik L'Homme,5028
3.95,81259,James H. Street,290
3.5,96503,Sarah Woodruff,30
3.49,330751,Francine Maroukian,65
3.8,8209,Donald Spoto,11439
4.29,949988,Horace Hart,76
3.83,9393,Michael Novak,619
4.23,308679,Shin Yu Pai,66
